iteration,outcome,additional_missing_pct,md_strat,prop_miss_train,prop_miss_test,model,auc,bri,ipa,cal_error,numeric,nominal
1,dead,30,nbrs_mi,0.35605116279069765,0.07153023255813953,xgb,0.6288329977372208,0.11262322192833153,0.02681906026275327,3.687519776407212e-4,-0.04866736003372393,0.6409025641025641
2,dead,30,nbrs_mi,0.3568139534883721,0.07076744186046512,cph,0.6014402319888473,0.1141737195171389,0.013575863831891022,1.5833207943482657e-4,-0.06140108115117348,0.6375282051282052
2,dead,30,nbrs_mi,0.3568139534883721,0.07076744186046512,xgb,0.5906276504918683,0.11447757920233889,0.010950614091781441,3.4145635041331367e-4,-0.06140108115117348,0.6375282051282052
3,dead,30,nbrs_mi,0.35804651162790696,0.06953488372093024,cph,0.6087613072877885,0.11160360360710395,0.013874185005171347,3.066412379376379e-4,-0.05148146054234126,0.6416205128205128
3,dead,30,nbrs_mi,0.35804651162790696,0.06953488372093024,xgb,0.6197291448243791,0.1110687494145179,0.01860013927116555,4.523328317833175e-4,-0.05148146054234126,0.6416205128205128
4,dead,30,nbrs_mi,0.3575767441860465,0.0700046511627907,cph,0.6116972259783947,0.11382177457703703,0.017212745598017998,2.2863353628286445e-4,-0.04715812931197013,0.6413641025641026
4,dead,30,nbrs_mi,0.3575767441860465,0.0700046511627907,xgb,0.6261545801221834,0.1134047887241725,0.0208131848196349,6.840376997695851e-4,-0.04715812931197013,0.6413641025641026
5,dead,30,nbrs_mi,0.3575441860465116,0.07003720930232558,cph,0.6176421493391956,0.11092862099824949,0.016138463742423337,5.18315121590319e-4,-0.05027267770138221,0.64
5,dead,30,nbrs_mi,0.3575441860465116,0.07003720930232558,xgb,0.6263837320067805,0.11014767625061261,0.023064913311776736,5.18371261031131e-4,-0.05027267770138221,0.64
6,dead,30,nbrs_mi,0.3567720930232558,0.0708093023255814,cph,0.6104004882962561,0.11515708347510238,0.016982969355384014,2.9529238215352774e-4,-0.07285688717615516,0.6390461538461538
6,dead,30,nbrs_mi,0.3567720930232558,0.0708093023255814,xgb,0.6009104753095351,0.1152989200141856,0.015772208112749375,2.6126442913609795e-4,-0.07285688717615516,0.6390461538461538
7,dead,30,nbrs_mi,0.35593023255813955,0.07165116279069768,cph,0.6092803127751639,0.1193821894078,0.008617477993103306,4.647404295824564e-4,-0.04498717206532815,0.636051282051282
7,dead,30,nbrs_mi,0.35593023255813955,0.07165116279069768,xgb,0.6198056078684999,0.1177420350445339,0.022237770745324625,1.901878693561489e-4,-0.04498717206532815,0.636051282051282
8,dead,30,nbrs_mi,0.35673953488372095,0.07084186046511629,cph,0.6237967582133038,0.11546796487220083,0.024145351013169503,2.4540458444034346e-4,-0.05576113568293939,0.6394666666666666
8,dead,30,nbrs_mi,0.35673953488372095,0.07084186046511629,xgb,0.6251690638762261,0.11577132883091686,0.02158153056499812,4.0847406545802207e-4,-0.05576113568293939,0.6394666666666666
9,dead,30,nbrs_mi,0.35674883720930234,0.07083255813953489,cph,0.60481717126306,0.1172652634230988,0.01625028855096533,1.2859274107227892e-4,-0.05345884064597865,0.6435794871794872
9,dead,30,nbrs_mi,0.35674883720930234,0.07083255813953489,xgb,0.6009962501129972,0.11730565238544488,0.015911461613696387,1.9122573458706918e-4,-0.05345884064597865,0.6435794871794872
10,dead,30,nbrs_mi,0.3560604651162791,0.07152093023255814,cph,0.596044581147987,0.11303171363929666,0.009742674478751767,9.282532475935453e-4,-0.058720271262196984,0.6404205128205128
10,dead,30,nbrs_mi,0.3560604651162791,0.07152093023255814,xgb,0.5966276164724263,0.11261122952787077,0.013426485492477935,5.202057680685935e-4,-0.058720271262196984,0.6404205128205128
1,dead,30,nbrs_si,0.35605116279069765,0.07153023255813953,cph,0.6066265463652939,0.113896322278609,0.015818158547729833,1.1066998593083992e-4,-0.01877498701515442,0.654974358974359
1,dead,30,nbrs_si,0.35605116279069765,0.07153023255813953,xgb,0.627602673193145,0.11280677786613615,0.025232947407975215,2.903095507465085e-4,-0.01877498701515442,0.654974358974359
2,dead,30,nbrs_si,0.3568139534883721,0.07076744186046512,cph,0.5993156709247531,0.11424410548556974,0.01296775175144571,1.6714839351248572e-4,-0.02703502265152851,0.6539487179487179
2,dead,30,nbrs_si,0.3568139534883721,0.07076744186046512,xgb,0.583499339379033,0.11548524336776395,0.002244720492705299,8.897712991764355e-4,-0.02703502265152851,0.6539487179487179
3,dead,30,nbrs_si,0.35804651162790696,0.06953488372093024,cph,0.6067676060769525,0.11183460484761568,0.01183306555022623,5.108326678614028e-4,-0.022310257982974716,0.6595897435897436
3,dead,30,nbrs_si,0.35804651162790696,0.06953488372093024,xgb,0.6199160304191281,0.11108197850221732,0.018483247482123044,6.468345712420752e-4,-0.022310257982974716,0.6595897435897436
4,dead,30,nbrs_si,0.3575767441860465,0.0700046511627907,cph,0.6117455739338441,0.11381977836087272,0.017229981806209382,2.832699241178922e-4,-0.015267495579858785,0.65471794871794875
4,dead,30,nbrs_si,0.3575767441860465,0.0700046511627907,xgb,0.6182076268347104,0.113483682701099,0.020131979529517396,4.6201773028713676e-4,-0.015267495579858785,0.65471794871794875
5,dead,30,nbrs_si,0.3575441860465116,0.07003720930232558,cph,0.6115437795048995,0.11098561381048871,0.01563297620187043,2.8666691967744757e-4,-0.021333624724077346,0.6535897435897436
5,dead,30,nbrs_si,0.3575441860465116,0.07003720930232558,xgb,0.6273427353659607,0.11036113504177782,0.021171678794719262,6.491409331221365e-4,-0.021333624724077346,0.6535897435897436
6,dead,30,nbrs_si,0.3567720930232558,0.0708093023255814,cph,0.6047484849429059,0.115413796531342,0.014791586084315522,3.7711776091814707e-4,-0.02881844482741238,0.6521538461538462
6,dead,30,nbrs_si,0.3567720930232558,0.0708093023255814,xgb,0.6005633296179558,0.11549665558463167,0.014084275182815964,3.5974409919559467e-4,-0.02881844482741238,0.6521538461538462
7,dead,30,nbrs_si,0.35593023255813955,0.07165116279069768,cph,0.6087298511113665,0.11931023747107074,0.009214986657099078,3.6757028322250687e-4,-0.0168176397424177,0.6531794871794872
7,dead,30,nbrs_si,0.35593023255813955,0.07165116279069768,xgb,0.6173722716890236,0.11797343917185342,0.02031612725325238,3.00938857890766e-4,-0.0168176397424177,0.6531794871794872
8,dead,30,nbrs_si,0.35673953488372095,0.07084186046511629,cph,0.6228962586189705,0.11555328652793198,0.023424271928622953,2.581653987227276e-4,-0.022647929067455587,0.6573333333333333
8,dead,30,nbrs_si,0.35673953488372095,0.07084186046511629,xgb,0.6264702739133846,0.1158548652291873,0.020875539230500784,3.558623805411312e-4,-0.022647929067455587,0.6573333333333333
9,dead,30,nbrs_si,0.35674883720930234,0.07083255813953489,cph,0.5973581433340748,0.11758806697184411,0.013542258153360187,3.5974732370335166e-4,-0.023254656164079256,0.6586153846153846
9,dead,30,nbrs_si,0.35674883720930234,0.07083255813953489,xgb,0.5978109338025289,0.11748337853249569,0.014420499663205022,1.6199584864756843e-4,-0.023254656164079256,0.6586153846153846
10,dead,30,nbrs_si,0.3560604651162791,0.07152093023255814,cph,0.5862402207998395,0.11427845477005939,-0.0011798754677723178,0.0017034001822407183,-0.0251303344997545,0.6546153846153846
10,dead,30,nbrs_si,0.3560604651162791,0.07152093023255814,xgb,0.5985400083771807,0.11294127219419377,0.01053502116323779,7.646762375820238e-4,-0.0251303344997545,0.6546153846153846
1,txpl,30,mia,0.35605116279069765,0.07153023255813953,xgb,0.6995349396548692,0.07242390654796133,0.03226184666622711,2.475515506473061e-4,NA,NA
2,txpl,30,mia,0.3568139534883721,0.07076744186046512,xgb,0.7002415897852782,0.06792126387744672,0.004458076468138894,0.0019008971969810301,NA,NA
3,txpl,30,mia,0.35804651162790696,0.06953488372093024,xgb,0.7078902140326896,0.06897036479867592,0.025956379789472184,6.350368338323181e-4,NA,NA
4,txpl,30,mia,0.3575767441860465,0.0700046511627907,xgb,0.7036489942793296,0.06861359313811591,0.0032935460387183424,0.0016955144926206027,NA,NA
5,txpl,30,mia,0.3575441860465116,0.07003720930232558,xgb,0.712566783716065,0.07195958123681077,0.017349049000814687,9.056593479641453e-4,NA,NA
6,txpl,30,mia,0.3567720930232558,0.0708093023255814,xgb,0.7127705718285363,0.07333753136626357,0.037990054698841536,4.474897123198414e-4,NA,NA
7,txpl,30,mia,0.35593023255813955,0.07165116279069768,xgb,0.695999785095299,0.07125213173236586,0.024735354878046678,7.062338004257847e-4,NA,NA
8,txpl,30,mia,0.35673953488372095,0.07084186046511629,xgb,0.716828159668931,0.06826406062116527,0.03353529120298471,5.633493001124081e-4,NA,NA
9,txpl,30,mia,0.35674883720930234,0.07083255813953489,xgb,0.6932610762852237,0.0706821321150134,0.028726526088568072,4.522582676791552e-4,NA,NA
10,txpl,30,mia,0.3560604651162791,0.07152093023255814,xgb,0.7318654338731474,0.06695371492667163,0.041803386996574377,6.945299386326554e-4,NA,NA
1,txpl,30,ranger_si,0.35605116279069765,0.07153023255813953,cph,0.6984227113100574,0.0720010686268081,0.03791186485055864,3.237873225665823e-4,-0.041563713214218076,0.5963589743589743
